ID,Gemeente,Locatie
1001001,Anderlecht,"Anderlecht,Brussels,Belgium"
1001003,Bertem,"Bertem,Flanders,Belgium"
1001004,Brussels,"Brussels,Brussels,Belgium"
1001006,Etterbeek,"Etterbeek,Brussels,Belgium"
1001007,Evere,"Evere,Brussels,Belgium"
1001009,Hoeilaart,"Hoeilaart,Flanders,Belgium"
1001010,Ixelles,"Ixelles,Brussels,Belgium"
1001011,Jette,"Jette,Brussels,Belgium"
1001012,Kraainem,"Kraainem,Flanders,Belgium"
1001015,Schaerbeek,"Schaerbeek,Brussels,Belgium"
1001018,Uccle,"Uccle,Brussels,Belgium"
1001019,Wezembeek-Oppem,"Wezembeek-Oppem,Flanders,Belgium"
1001020,Woluwe-Saint-Lambert,"Woluwe-Saint-Lambert,Brussels,Belgium"
1001021,Antwerp,"Antwerp,Antwerp,Flanders,Belgium"
1001022,Arendonk,"Arendonk,Flanders,Belgium"
1001025,Balen,"Balen,Flanders,Belgium"
1001026,Beerse,"Beerse,Flanders,Belgium"
1001027,Boechout,"Boechout,Flanders,Belgium"
1001028,Bonheiden,"Bonheiden,Flanders,Belgium"
1001030,Boom,"Boom,Flanders,Belgium"
1001032,Bornem,"Bornem,Flanders,Belgium"
1001034,Brasschaat,"Brasschaat,Flanders,Belgium"
1001038,Duffel,"Duffel,Flanders,Belgium"
1001039,Edegem,"Edegem,Flanders,Belgium"
1001041,Essen,"Essen,Flanders,Belgium"
1001042,Geel,"Geel,Flanders,Belgium"
1001044,Grobbendonk,"Grobbendonk,Flanders,Belgium"
1001045,Heist-op-den-Berg,"Heist-op-den-Berg,Flanders,Belgium"
1001046,Hemiksem,"Hemiksem,Flanders,Belgium"
1001047,Herentals,"Herentals,Flanders,Belgium"
1001049,Hoogstraten,"Hoogstraten,Flanders,Belgium"
1001051,Kalmthout,"Kalmthout,Flanders,Belgium"
1001052,Kapellen,"Kapellen,Flanders,Belgium"
1001054,Kontich,"Kontich,Flanders,Belgium"
1001057,Lier,"Lier,Flanders,Belgium"
1001058,Malle,"Malle,Flanders,Belgium"
1001059,Mechelen,"Mechelen,Flanders,Belgium"
1001062,Mol,"Mol,Flanders,Belgium"
1001063,Mortsel,"Mortsel,Flanders,Belgium"
1001066,Olen,"Olen,Flanders,Belgium"
1001068,Puurs-Sint-Amands,"Puurs-Sint-Amands,Flanders,Belgium"
1001070,Rijkevorsel,"Rijkevorsel,Flanders,Belgium"
1001071,Rumst,"Rumst,Flanders,Belgium"
1001072,Schelle,"Schelle,Flanders,Belgium"
1001073,Schilde,"Schilde,Flanders,Belgium"
1001074,Schoten,"Schoten,Flanders,Belgium"
1001076,Sint-Amands,"Sint-Amands,Flanders,Belgium"
1001078,Stabroek,"Stabroek,Flanders,Belgium"
1001080,Turnhout,"Turnhout,Flanders,Belgium"
1001082,Vosselaar,"Vosselaar,Flanders,Belgium"
1001083,Westerlo,"Westerlo,Flanders,Belgium"
1001084,Wijnegem,"Wijnegem,Flanders,Belgium"
1001085,Willebroek,"Willebroek,Flanders,Belgium"
1001087,Wommelgem,"Wommelgem,Flanders,Belgium"
1001088,Zandhoven,"Zandhoven,Flanders,Belgium"
1001089,Zoersel,"Zoersel,Flanders,Belgium"
1001090,Zwijndrecht,"Zwijndrecht,Flanders,Belgium"
1001091,Aarschot,"Aarschot,Flanders,Belgium"
1001092,Asse,"Asse,Flanders,Belgium"
1001094,Beauvechain,"Beauvechain,Wallonia,Belgium"
1001095,Begijnendijk,"Begijnendijk,Flanders,Belgium"
1001097,Bierbeek,"Bierbeek,Flanders,Belgium"
1001098,Boutersem,"Boutersem,Flanders,Belgium"
1001100,Dilbeek,"Dilbeek,Flanders,Belgium"
1001104,Grimbergen,"Grimbergen,Flanders,Belgium"
1001105,Haacht,"Haacht,Flanders,Belgium"
1001107,Halle,"Halle,Flanders,Belgium"
1001108,Herent,"Herent,Flanders,Belgium"
1001110,Holsbeek,"Holsbeek,Flanders,Belgium"
1001112,Keerbergen,"Keerbergen,Flanders,Belgium"
1001116,Kortenberg,"Kortenberg,Flanders,Belgium"
1001117,Lennik,"Lennik,Flanders,Belgium"
1001118,Leuven,"Leuven,Flanders,Belgium"
1001121,Londerzeel,"Londerzeel,Flanders,Belgium"
1001122,Lubbeek,"Lubbeek,Flanders,Belgium"
1001123,Machelen,"Machelen,Flanders,Belgium"
1001125,Meise,"Meise,Flanders,Belgium"
1001129,Opwijk,"Opwijk,Flanders,Belgium"
1001130,Overijse,"Overijse,Flanders,Belgium"
1001133,Roosdaal,"Roosdaal,Flanders,Belgium"
1001134,Rotselaar,"Rotselaar,Flanders,Belgium"
1001136,Sint-Pieters-Leeuw,"Sint-Pieters-Leeuw,Flanders,Belgium"
1001138,Steenokkerzeel,"Steenokkerzeel,Flanders,Belgium"
1001140,Ternat,"Ternat,Flanders,Belgium"
